"","date","year","month","day","co2_ppm","decade","year_of_decade","date_scale"
"82",1975-12-07,1975,12,7,329.408998260624,"1970's",5,1979-12-07
"83",1975-12-14,1975,12,14,329.649842189264,"1970's",5,1979-12-14
"84",1975-12-21,1975,12,21,330.207186987592,"1970's",5,1979-12-21
"85",1975-12-28,1975,12,28,330.84568785728,"1970's",5,1979-12-28
"86",1976-01-04,1976,1,4,331.33,"1970's",6,1980-01-04
"87",1976-01-11,1976,1,11,331.53,"1970's",6,1980-01-11
"88",1976-01-18,1976,1,18,331.66,"1970's",6,1980-01-18
"89",1976-01-25,1976,1,25,331.88,"1970's",6,1980-01-25
"90",1976-02-01,1976,2,1,332.45,"1970's",6,1980-02-01
"91",1976-02-08,1976,2,8,332.51,"1970's",6,1980-02-08
"92",1976-02-15,1976,2,15,332.61,"1970's",6,1980-02-15
"93",1976-02-22,1976,2,22,333.49,"1970's",6,1980-02-22
"94",1976-02-29,1976,2,29,332.43,"1970's",6,1980-02-29
"95",1976-03-07,1976,3,7,332.88,"1970's",6,1980-03-07
"96",1976-03-14,1976,3,14,333.56,"1970's",6,1980-03-14
"97",1976-03-21,1976,3,21,334.33,"1970's",6,1980-03-21
"98",1976-03-28,1976,3,28,334.56,"1970's",6,1980-03-28
"99",1976-04-04,1976,4,4,335.06,"1970's",6,1980-04-04
"100",1976-04-11,1976,4,11,333.01,"1970's",6,1980-04-11
"101",1976-04-18,1976,4,18,334.7,"1970's",6,1980-04-18
"102",1976-04-25,1976,4,25,335.06,"1970's",6,1980-04-25
"103",1976-05-02,1976,5,2,334.17,"1970's",6,1980-05-02
"104",1976-05-09,1976,5,9,334.32,"1970's",6,1980-05-09
"105",1976-05-16,1976,5,16,335.29,"1970's",6,1980-05-16
"106",1976-05-23,1976,5,23,335.28,"1970's",6,1980-05-23
"107",1976-05-30,1976,5,30,334.43,"1970's",6,1980-05-30
"108",1976-06-06,1976,6,6,334.21,"1970's",6,1980-06-06
"109",1976-06-13,1976,6,13,334.17,"1970's",6,1980-06-13
"110",1976-06-20,1976,6,20,334.04,"1970's",6,1980-06-20
"111",1976-06-27,1976,6,27,333.752749544388,"1970's",6,1980-06-27
"112",1976-07-04,1976,7,4,333.6,"1970's",6,1980-07-04
"113",1976-07-11,1976,7,11,333.48,"1970's",6,1980-07-11
"114",1976-07-18,1976,7,18,332.43,"1970's",6,1980-07-18
"115",1976-07-25,1976,7,25,332.24,"1970's",6,1980-07-25
"116",1976-08-01,1976,8,1,331.69,"1970's",6,1980-08-01
"117",1976-08-08,1976,8,8,330.7,"1970's",6,1980-08-08
"118",1976-08-15,1976,8,15,330.44,"1970's",6,1980-08-15
"119",1976-08-22,1976,8,22,330.23,"1970's",6,1980-08-22
"120",1976-08-29,1976,8,29,330.43,"1970's",6,1980-08-29
"121",1976-09-05,1976,9,5,329.54,"1970's",6,1980-09-05
"122",1976-09-12,1976,9,12,329.54,"1970's",6,1980-09-12
"123",1976-09-19,1976,9,19,328.61,"1970's",6,1980-09-19
"124",1976-09-26,1976,9,26,327.65,"1970's",6,1980-09-26
"125",1976-10-03,1976,10,3,328.54,"1970's",6,1980-10-03
"126",1976-10-10,1976,10,10,328.55,"1970's",6,1980-10-10
"127",1976-10-17,1976,10,17,329.28,"1970's",6,1980-10-17
"128",1976-10-24,1976,10,24,328.82,"1970's",6,1980-10-24
"129",1976-10-31,1976,10,31,329.4,"1970's",6,1980-10-31
"130",1976-11-07,1976,11,7,330.44,"1970's",6,1980-11-07
"131",1976-11-14,1976,11,14,330.17,"1970's",6,1980-11-14
"132",1976-11-21,1976,11,21,330.55,"1970's",6,1980-11-21
"133",1976-11-28,1976,11,28,330.68,"1970's",6,1980-11-28
"134",1976-12-05,1976,12,5,331.19,"1970's",6,1980-12-05
"135",1976-12-12,1976,12,12,332.39,"1970's",6,1980-12-12
"136",1976-12-19,1976,12,19,331.7,"1970's",6,1980-12-19
"137",1976-12-26,1976,12,26,332.38,"1970's",6,1980-12-26
"138",1977-01-02,1977,1,2,332.39,"1970's",7,1981-01-02
"139",1977-01-09,1977,1,9,332.49,"1970's",7,1981-01-09
"140",1977-01-16,1977,1,16,332.88,"1970's",7,1981-01-16
"141",1977-01-23,1977,1,23,333.02,"1970's",7,1981-01-23
"142",1977-01-30,1977,1,30,332.98,"1970's",7,1981-01-30
"143",1977-02-06,1977,2,6,333.23,"1970's",7,1981-02-06
"144",1977-02-13,1977,2,13,333.15,"1970's",7,1981-02-13
"145",1977-02-20,1977,2,20,333.18,"1970's",7,1981-02-20
"146",1977-02-27,1977,2,27,334.35,"1970's",7,1981-02-27
"147",1977-03-06,1977,3,6,334.3,"1970's",7,1981-03-06
"148",1977-03-13,1977,3,13,335.19,"1970's",7,1981-03-13
"149",1977-03-20,1977,3,20,335.32,"1970's",7,1981-03-20
"150",1977-03-27,1977,3,27,335.17,"1970's",7,1981-03-27
"151",1977-04-03,1977,4,3,336.01,"1970's",7,1981-04-03
"152",1977-04-10,1977,4,10,335.85,"1970's",7,1981-04-10
"153",1977-04-17,1977,4,17,336.31,"1970's",7,1981-04-17
"154",1977-04-24,1977,4,24,336.59,"1970's",7,1981-04-24
"155",1977-05-01,1977,5,1,337,"1970's",7,1981-05-01
"156",1977-05-08,1977,5,8,336.58,"1970's",7,1981-05-08
"157",1977-05-15,1977,5,15,337.1,"1970's",7,1981-05-15
"158",1977-05-22,1977,5,22,336.99,"1970's",7,1981-05-22
"159",1977-05-29,1977,5,29,336.63,"1970's",7,1981-05-29
"160",1977-06-05,1977,6,5,336.2,"1970's",7,1981-06-05
"161",1977-06-12,1977,6,12,336.01,"1970's",7,1981-06-12
"162",1977-06-19,1977,6,19,336.34,"1970's",7,1981-06-19
"163",1977-06-26,1977,6,26,335.74,"1970's",7,1981-06-26
"164",1977-07-03,1977,7,3,335.46,"1970's",7,1981-07-03
"165",1977-07-10,1977,7,10,335.24,"1970's",7,1981-07-10
"166",1977-07-17,1977,7,17,334.6,"1970's",7,1981-07-17
"167",1977-07-24,1977,7,24,334.1,"1970's",7,1981-07-24
"168",1977-07-31,1977,7,31,333.42,"1970's",7,1981-07-31
"169",1977-08-07,1977,8,7,332.54,"1970's",7,1981-08-07
"170",1977-08-14,1977,8,14,332.84,"1970's",7,1981-08-14
"171",1977-08-21,1977,8,21,331.82,"1970's",7,1981-08-21
"172",1977-08-28,1977,8,28,332.25,"1970's",7,1981-08-28
"173",1977-09-04,1977,9,4,331.18,"1970's",7,1981-09-04
"174",1977-09-11,1977,9,11,331.48,"1970's",7,1981-09-11
"175",1977-09-18,1977,9,18,330.92,"1970's",7,1981-09-18
"176",1977-09-25,1977,9,25,330.93,"1970's",7,1981-09-25
"177",1977-10-02,1977,10,2,330.94,"1970's",7,1981-10-02
"178",1977-10-09,1977,10,9,331.54,"1970's",7,1981-10-09
"179",1977-10-16,1977,10,16,331.27,"1970's",7,1981-10-16
"180",1977-10-23,1977,10,23,331.37,"1970's",7,1981-10-23
"181",1977-10-30,1977,10,30,331.88,"1970's",7,1981-10-30
"182",1977-11-06,1977,11,6,332.08,"1970's",7,1981-11-06
"183",1977-11-13,1977,11,13,332.53,"1970's",7,1981-11-13
"184",1977-11-20,1977,11,20,333.11,"1970's",7,1981-11-20
"185",1977-11-27,1977,11,27,332.65,"1970's",7,1981-11-27
"186",1977-12-04,1977,12,4,333.34,"1970's",7,1981-12-04
"187",1977-12-11,1977,12,11,333.4,"1970's",7,1981-12-11
"188",1977-12-18,1977,12,18,334.03,"1970's",7,1981-12-18
"189",1977-12-25,1977,12,25,333.97,"1970's",7,1981-12-25
"190",1978-01-01,1978,1,1,334.66,"1970's",8,1982-01-01
"191",1978-01-08,1978,1,8,334.56,"1970's",8,1982-01-08
"192",1978-01-15,1978,1,15,334.94,"1970's",8,1982-01-15
"193",1978-01-22,1978,1,22,335.68,"1970's",8,1982-01-22
"194",1978-01-29,1978,1,29,335.22,"1970's",8,1982-01-29
"195",1978-02-05,1978,2,5,334.74,"1970's",8,1982-02-05
"196",1978-02-12,1978,2,12,335.3,"1970's",8,1982-02-12
"197",1978-02-19,1978,2,19,335.5,"1970's",8,1982-02-19
"198",1978-02-26,1978,2,26,335.95,"1970's",8,1982-02-26
"199",1978-03-05,1978,3,5,336.06,"1970's",8,1982-03-05
"200",1978-03-12,1978,3,12,336.73,"1970's",8,1982-03-12
"201",1978-03-19,1978,3,19,336.91,"1970's",8,1982-03-19
"202",1978-03-26,1978,3,26,337.29,"1970's",8,1982-03-26
"203",1978-04-02,1978,4,2,337.33,"1970's",8,1982-04-02
"204",1978-04-09,1978,4,9,338,"1970's",8,1982-04-09
"205",1978-04-16,1978,4,16,337.62,"1970's",8,1982-04-16
"206",1978-04-23,1978,4,23,337.87,"1970's",8,1982-04-23
"207",1978-04-30,1978,4,30,338.27,"1970's",8,1982-04-30
"208",1978-05-07,1978,5,7,338.02,"1970's",8,1982-05-07
"209",1978-05-14,1978,5,14,337.89,"1970's",8,1982-05-14
"210",1978-05-21,1978,5,21,337.79,"1970's",8,1982-05-21
"211",1978-05-28,1978,5,28,338.44,"1970's",8,1982-05-28
"212",1978-06-04,1978,6,4,338.46,"1970's",8,1982-06-04
"213",1978-06-11,1978,6,11,338.12,"1970's",8,1982-06-11
"214",1978-06-18,1978,6,18,337.62,"1970's",8,1982-06-18
"215",1978-06-25,1978,6,25,337.47,"1970's",8,1982-06-25
"216",1978-07-02,1978,7,2,336.69,"1970's",8,1982-07-02
"217",1978-07-09,1978,7,9,336.79,"1970's",8,1982-07-09
"218",1978-07-16,1978,7,16,336.34,"1970's",8,1982-07-16
"219",1978-07-23,1978,7,23,335.86,"1970's",8,1982-07-23
"220",1978-07-30,1978,7,30,335.42,"1970's",8,1982-07-30
"221",1978-08-06,1978,8,6,334.66,"1970's",8,1982-08-06
"222",1978-08-13,1978,8,13,334.69,"1970's",8,1982-08-13
"223",1978-08-20,1978,8,20,334.2,"1970's",8,1982-08-20
"224",1978-08-27,1978,8,27,333.78,"1970's",8,1982-08-27
"225",1978-09-03,1978,9,3,332.82,"1970's",8,1982-09-03
"226",1978-09-10,1978,9,10,331.85,"1970's",8,1982-09-10
"227",1978-09-17,1978,9,17,331.75,"1970's",8,1982-09-17
"228",1978-09-24,1978,9,24,332.79,"1970's",8,1982-09-24
"229",1978-10-01,1978,10,1,332.22,"1970's",8,1982-10-01
"230",1978-10-08,1978,10,8,331.91,"1970's",8,1982-10-08
"231",1978-10-15,1978,10,15,332.67,"1970's",8,1982-10-15
"232",1978-10-22,1978,10,22,332.8,"1970's",8,1982-10-22
"233",1978-10-29,1978,10,29,333.22,"1970's",8,1982-10-29
"234",1978-11-05,1978,11,5,333.57,"1970's",8,1982-11-05
"235",1978-11-12,1978,11,12,333.61,"1970's",8,1982-11-12
"236",1978-11-19,1978,11,19,334.12,"1970's",8,1982-11-19
"237",1978-11-26,1978,11,26,334.15,"1970's",8,1982-11-26
"238",1978-12-03,1978,12,3,334.46,"1970's",8,1982-12-03
"239",1978-12-10,1978,12,10,334.96,"1970's",8,1982-12-10
"240",1978-12-17,1978,12,17,335.26,"1970's",8,1982-12-17
"241",1978-12-24,1978,12,24,335.07,"1970's",8,1982-12-24
"242",1978-12-31,1978,12,31,335.2,"1970's",8,1982-12-31
"243",1979-01-07,1979,1,7,335.48,"1970's",9,1983-01-07
"244",1979-01-14,1979,1,14,336.64,"1970's",9,1983-01-14
"245",1979-01-21,1979,1,21,336.93,"1970's",9,1983-01-21
"246",1979-01-28,1979,1,28,337.02,"1970's",9,1983-01-28
"247",1979-02-04,1979,2,4,336.6,"1970's",9,1983-02-04
"248",1979-02-11,1979,2,11,336.52,"1970's",9,1983-02-11
"249",1979-02-18,1979,2,18,336.78,"1970's",9,1983-02-18
"250",1979-02-25,1979,2,25,336.9,"1970's",9,1983-02-25
"251",1979-03-04,1979,3,4,337.93,"1970's",9,1983-03-04
"252",1979-03-11,1979,3,11,338.1,"1970's",9,1983-03-11
"253",1979-03-18,1979,3,18,338.65,"1970's",9,1983-03-18
"254",1979-03-25,1979,3,25,338.97,"1970's",9,1983-03-25
"255",1979-04-01,1979,4,1,337.9,"1970's",9,1983-04-01
"256",1979-04-08,1979,4,8,338.76,"1970's",9,1983-04-08
"257",1979-04-15,1979,4,15,338.76,"1970's",9,1983-04-15
"258",1979-04-22,1979,4,22,339.38,"1970's",9,1983-04-22
"259",1979-04-29,1979,4,29,339.52,"1970's",9,1983-04-29
"260",1979-05-06,1979,5,6,338.61,"1970's",9,1983-05-06
"261",1979-05-13,1979,5,13,339.19,"1970's",9,1983-05-13
"262",1979-05-20,1979,5,20,339.4,"1970's",9,1983-05-20
"263",1979-05-27,1979,5,27,339.67,"1970's",9,1983-05-27
"264",1979-06-03,1979,6,3,339.74,"1970's",9,1983-06-03
"265",1979-06-10,1979,6,10,339.01,"1970's",9,1983-06-10
"266",1979-06-17,1979,6,17,339.15,"1970's",9,1983-06-17
"267",1979-06-24,1979,6,24,338.93,"1970's",9,1983-06-24
"268",1979-07-01,1979,7,1,338.14,"1970's",9,1983-07-01
"269",1979-07-08,1979,7,8,337.7,"1970's",9,1983-07-08
"270",1979-07-15,1979,7,15,337.91,"1970's",9,1983-07-15
"271",1979-07-22,1979,7,22,336.67,"1970's",9,1983-07-22
"272",1979-07-29,1979,7,29,336.85,"1970's",9,1983-07-29
"273",1979-08-05,1979,8,5,336.35,"1970's",9,1983-08-05
"274",1979-08-12,1979,8,12,336.17,"1970's",9,1983-08-12
"275",1979-08-19,1979,8,19,334.81,"1970's",9,1983-08-19
"276",1979-08-26,1979,8,26,334.99,"1970's",9,1983-08-26
"277",1979-09-02,1979,9,2,333.74,"1970's",9,1983-09-02
"278",1979-09-09,1979,9,9,334.4,"1970's",9,1983-09-09
"279",1979-09-16,1979,9,16,333.61,"1970's",9,1983-09-16
"280",1979-09-23,1979,9,23,333.61,"1970's",9,1983-09-23
"281",1979-09-30,1979,9,30,334.11,"1970's",9,1983-09-30
"282",1979-10-07,1979,10,7,334.52,"1970's",9,1983-10-07
"283",1979-10-14,1979,10,14,334.09,"1970's",9,1983-10-14
"284",1979-10-21,1979,10,21,334.35,"1970's",9,1983-10-21
"285",1979-10-28,1979,10,28,334.54,"1970's",9,1983-10-28
"286",1979-11-04,1979,11,4,334.8,"1970's",9,1983-11-04
"287",1979-11-11,1979,11,11,335.36,"1970's",9,1983-11-11
"288",1979-11-18,1979,11,18,335.79,"1970's",9,1983-11-18
"289",1979-11-25,1979,11,25,335.88,"1970's",9,1983-11-25
"290",1979-12-02,1979,12,2,336.4,"1970's",9,1983-12-02
"291",1979-12-09,1979,12,9,336.72,"1970's",9,1983-12-09
"292",1979-12-16,1979,12,16,337.01,"1970's",9,1983-12-16
"293",1979-12-23,1979,12,23,337.2,"1970's",9,1983-12-23
"294",1979-12-30,1979,12,30,337.53,"1970's",9,1983-12-30
"295",1980-01-06,1980,1,6,337.4,"1980's",0,1974-01-06
"296",1980-01-13,1980,1,13,337.71,"1980's",0,1974-01-13
"297",1980-01-20,1980,1,20,338.65,"1980's",0,1974-01-20
"298",1980-01-27,1980,1,27,337.89,"1980's",0,1974-01-27
"299",1980-02-03,1980,2,3,338.47,"1980's",0,1974-02-03
"300",1980-02-10,1980,2,10,338.19,"1980's",0,1974-02-10
"301",1980-02-17,1980,2,17,338.35,"1980's",0,1974-02-17
"302",1980-02-24,1980,2,24,338.91,"1980's",0,1974-02-24
"303",1980-03-02,1980,3,2,339.43,"1980's",0,1974-03-02
"304",1980-03-09,1980,3,9,339.83,"1980's",0,1974-03-09
"305",1980-03-16,1980,3,16,339.66,"1980's",0,1974-03-16
"306",1980-03-23,1980,3,23,340.84,"1980's",0,1974-03-23
"307",1980-03-30,1980,3,30,340.63,"1980's",0,1974-03-30
"308",1980-04-06,1980,4,6,340.81,"1980's",0,1974-04-06
"309",1980-04-13,1980,4,13,340.98,"1980's",0,1974-04-13
"310",1980-04-20,1980,4,20,341.14,"1980's",0,1974-04-20
"311",1980-04-27,1980,4,27,341.35,"1980's",0,1974-04-27
"312",1980-05-04,1980,5,4,341.39,"1980's",0,1974-05-04
"313",1980-05-11,1980,5,11,341.71,"1980's",0,1974-05-11
"314",1980-05-18,1980,5,18,341.34,"1980's",0,1974-05-18
"315",1980-05-25,1980,5,25,341.32,"1980's",0,1974-05-25
"316",1980-06-01,1980,6,1,341.64,"1980's",0,1974-06-01
"317",1980-06-08,1980,6,8,341.62,"1980's",0,1974-06-08
"318",1980-06-15,1980,6,15,341.5,"1980's",0,1974-06-15
"319",1980-06-22,1980,6,22,340.76,"1980's",0,1974-06-22
"320",1980-06-29,1980,6,29,340.49,"1980's",0,1974-06-29
"321",1980-07-06,1980,7,6,339.95,"1980's",0,1974-07-06
"322",1980-07-13,1980,7,13,339.3,"1980's",0,1974-07-13
"323",1980-07-20,1980,7,20,338.77,"1980's",0,1974-07-20
"324",1980-07-27,1980,7,27,338.81,"1980's",0,1974-07-27
"325",1980-08-03,1980,8,3,336.78,"1980's",0,1974-08-03
"326",1980-08-10,1980,8,10,337.99,"1980's",0,1974-08-10
"327",1980-08-17,1980,8,17,338.36,"1980's",0,1974-08-17
"328",1980-08-24,1980,8,24,337.21,"1980's",0,1974-08-24
"329",1980-08-31,1980,8,31,336.9,"1980's",0,1974-08-31
"330",1980-09-07,1980,9,7,335.96,"1980's",0,1974-09-07
"331",1980-09-14,1980,9,14,336.43,"1980's",0,1974-09-14
"332",1980-09-21,1980,9,21,335.71,"1980's",0,1974-09-21
"333",1980-09-28,1980,9,28,335.77,"1980's",0,1974-09-28
"334",1980-10-05,1980,10,5,335.72,"1980's",0,1974-10-05
"335",1980-10-12,1980,10,12,336.11,"1980's",0,1974-10-12
"336",1980-10-19,1980,10,19,336.51,"1980's",0,1974-10-19
"337",1980-10-26,1980,10,26,336.69,"1980's",0,1974-10-26
"338",1980-11-02,1980,11,2,336.9,"1980's",0,1974-11-02
"339",1980-11-09,1980,11,9,337.49,"1980's",0,1974-11-09
"340",1980-11-16,1980,11,16,337.22,"1980's",0,1974-11-16
"341",1980-11-23,1980,11,23,337.65,"1980's",0,1974-11-23
"342",1980-11-30,1980,11,30,337.8,"1980's",0,1974-11-30
"343",1980-12-07,1980,12,7,338.09,"1980's",0,1974-12-07
"344",1980-12-14,1980,12,14,338.52,"1980's",0,1974-12-14
"345",1980-12-21,1980,12,21,338.39,"1980's",0,1974-12-21
"346",1980-12-28,1980,12,28,338.61,"1980's",0,1974-12-28
"347",1981-01-04,1981,1,4,339.12,"1980's",1,1975-01-04
"348",1981-01-11,1981,1,11,339.25,"1980's",1,1975-01-11
"349",1981-01-18,1981,1,18,339.55,"1980's",1,1975-01-18
"350",1981-01-25,1981,1,25,339.67,"1980's",1,1975-01-25
"351",1981-02-01,1981,2,1,339.89,"1980's",1,1975-02-01
"352",1981-02-08,1981,2,8,340.7,"1980's",1,1975-02-08
"353",1981-02-15,1981,2,15,340.18,"1980's",1,1975-02-15
"354",1981-02-22,1981,2,22,341.34,"1980's",1,1975-02-22
"355",1981-03-01,1981,3,1,341.23,"1980's",1,1975-03-01
"356",1981-03-08,1981,3,8,340.97,"1980's",1,1975-03-08
"357",1981-03-15,1981,3,15,341.61,"1980's",1,1975-03-15
"358",1981-03-22,1981,3,22,342.49,"1980's",1,1975-03-22
"359",1981-03-29,1981,3,29,342.29,"1980's",1,1975-03-29
"360",1981-04-05,1981,4,5,342.62,"1980's",1,1975-04-05
"361",1981-04-12,1981,4,12,342.96,"1980's",1,1975-04-12
"362",1981-04-19,1981,4,19,342.54,"1980's",1,1975-04-19
"363",1981-04-26,1981,4,26,342.68,"1980's",1,1975-04-26
"364",1981-05-03,1981,5,3,343.07,"1980's",1,1975-05-03
"365",1981-05-10,1981,5,10,343.05,"1980's",1,1975-05-10
"366",1981-05-17,1981,5,17,342.95,"1980's",1,1975-05-17
"367",1981-05-24,1981,5,24,343,"1980's",1,1975-05-24
"368",1981-05-31,1981,5,31,342.87,"1980's",1,1975-05-31
"369",1981-06-07,1981,6,7,342.83,"1980's",1,1975-06-07
"370",1981-06-14,1981,6,14,342.41,"1980's",1,1975-06-14
"371",1981-06-21,1981,6,21,342.18,"1980's",1,1975-06-21
"372",1981-06-28,1981,6,28,341.72,"1980's",1,1975-06-28
"373",1981-07-05,1981,7,5,341.3,"1980's",1,1975-07-05
"374",1981-07-12,1981,7,12,340.54,"1980's",1,1975-07-12
"375",1981-07-19,1981,7,19,340.72,"1980's",1,1975-07-19
"376",1981-07-26,1981,7,26,340.21,"1980's",1,1975-07-26
"377",1981-08-02,1981,8,2,339.32,"1980's",1,1975-08-02
"378",1981-08-09,1981,8,9,339,"1980's",1,1975-08-09
"379",1981-08-16,1981,8,16,338.42,"1980's",1,1975-08-16
"380",1981-08-23,1981,8,23,337.19,"1980's",1,1975-08-23
"381",1981-08-30,1981,8,30,337.6,"1980's",1,1975-08-30
"382",1981-09-06,1981,9,6,337.1,"1980's",1,1975-09-06
"383",1981-09-13,1981,9,13,336.92,"1980's",1,1975-09-13
"384",1981-09-20,1981,9,20,336.84,"1980's",1,1975-09-20
"385",1981-09-27,1981,9,27,336.14,"1980's",1,1975-09-27
"386",1981-10-04,1981,10,4,336.64,"1980's",1,1975-10-04
"387",1981-10-11,1981,10,11,337.08,"1980's",1,1975-10-11
"388",1981-10-18,1981,10,18,337.22,"1980's",1,1975-10-18
"389",1981-10-25,1981,10,25,337.63,"1980's",1,1975-10-25
"390",1981-11-01,1981,11,1,338.13,"1980's",1,1975-11-01
"391",1981-11-08,1981,11,8,338.29,"1980's",1,1975-11-08
"392",1981-11-15,1981,11,15,338.45,"1980's",1,1975-11-15
"393",1981-11-22,1981,11,22,339.23,"1980's",1,1975-11-22
"394",1981-11-29,1981,11,29,339.72,"1980's",1,1975-11-29
"395",1981-12-06,1981,12,6,339.7,"1980's",1,1975-12-06
"396",1981-12-13,1981,12,13,339.78,"1980's",1,1975-12-13
"397",1981-12-20,1981,12,20,340.03,"1980's",1,1975-12-20
